1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
198	Willis Towers Watson Public Limited Company	WLTW	0.103111	   202.46	-0.44	(-0.22%)
199	Zimmer Biomet Holdings Inc.	ZBH	0.102732	   127.88	1.54	(1.22%)
200	Cummins Inc.	CMI	0.102722	   169.83	0.23	(0.14%)
201	Clorox Company	CLX	0.102352	   204.21	-2.04	(-0.99%)
202	Public Service Enterprise Group Inc	PEG	0.101542	   52.22	1.18	(2.31%)
203	Cadence Design Systems Inc.	CDNS	0.101519	   91.97	0.68	(0.74%)
204	Chipotle Mexican Grill Inc.	CMG	0.101448	   1047.88	43.97	(4.38%)
205	McKesson Corporation	MCK	0.101386	   158.94	0.27	(0.17%)
206	Schlumberger NV	SLB	0.101088	   18.43	-0.04	(-0.22%)
207	PACCAR Inc	PCAR	0.100582	   73.12	-0.74	(-1.00%)
208	Consolidated Edison Inc.	ED	0.098727	   75.07	0.01	(0.01%)
209	Rockwell Automation Inc.	ROK	0.098687	   214.67	-1.49	(-0.69%)
210	Williams Companies Inc.	WMB	0.097372	   20.44	0.01	(0.05%)
211	Prudential Financial Inc.	PRU	0.097016	   60.88	-0.08	(-0.13%)
212	Johnson Controls International plc	JCI	0.095793	   31.77	0.36	(1.15%)
213	ANSYS Inc.	ANSS	0.095754	   286.70	3.70	(1.31%)
214	PPG Industries Inc.	PPG	0.094976	   103.37	1.70	(1.67%)
215	Marriott International Inc. Class A	MAR	0.094892	   94.45	5.95	(6.72%)
216	Twitter Inc.	TWTR	0.094796	   31.89	0.92	(2.97%)
217	Fastenal Company	FAST	0.093053	   40.66	-0.60	(-1.45%)
218	Ball Corporation	BLL	0.092398	   71.17	-0.09	(-0.13%)
219	Dollar Tree Inc.	DLTR	0.091698	   96.00	-1.87	(-1.91%)
220	Motorola Solutions Inc.	MSI	0.091669	   138.94	3.61	(2.67%)
221	Xilinx Inc.	XLNX	0.091644	   90.50	-1.45	(-1.58%)
222	Parker-Hannifin Corporation	PH	0.09134	   182.96	2.99	(1.66%)
223	Paychex Inc.	PAYX	0.091051	   71.80	-0.48	(-0.66%)
224	Cerner Corporation	CERN	0.090777	   72.67	-0.23	(-0.32%)
225	ResMed Inc.	RMD	0.090735	   161.12	0.30	(0.19%)
226	Microchip Technology Incorporated	MCHP	0.090666	   96.99	0.97	(1.01%)
227	American Water Works Company Inc.	AWK	0.09047	   127.77	0.77	(0.61%)
228	FirstEnergy Corp.	FE	0.090361	   42.76	0.50	(1.18%)
229	Marathon Petroleum Corporation	MPC	0.090207	   36.50	1.36	(3.87%)
230	VeriSign Inc.	VRSN	0.089678	   219.03	0.02	(0.01%)
231	HP Inc.	HPQ	0.088849	   15.13	-0.01	(-0.07%)
232	Hilton Worldwide Holdings Inc	HLT	0.088421	   81.91	2.60	(3.28%)
233	Ford Motor Company	F	0.088127	   5.87	0.16	(2.80%)
234	State Street Corporation	STT	0.087587	   62.35	1.39	(2.28%)
235	Archer-Daniels-Midland Company	ADM	0.086792	   38.89	-0.42	(-1.07%)
